Index,Expt,TC,Pkb,fO2,SiO2,Al2O3,Na2O,K2O,CaO,FeO,MgO,TiO2
355,ND-002-18,752,1.519999951,NNO-4.19,76.80999756,11.82999992,4.570000172,4.78000021,0.310000002,1.309999943,0.039999999,0.07
357,ND-002-20,752,1.519999951,NNO-3.96,76.76000214,11.53999996,4.360000134,4.840000153,0.280000001,1.49000001,0.039999999,0.039999999
61698,HL220-without,1150,0.001,QFM+5,59.82,9.41,11.98,1.14,8.62,0,0,8.47
61699,HL220-25,1150,0.001,QFM+5,59.62,9.32,12.01,1.14,8.82,0,0,8.64
61700,HL220-50,1150,0.001,QFM+5,59.31,9,12.16,1.14,8.97,0,0,8.86
61701,HL220-100,1150,0.001,QFM+5,59.56,9.18,12.13,1.15,8.9,0,0,8.74
61702,HL220-250,1150,0.001,QFM+5,59.2,8.86,11.99,1.11,9.33,0,0,9.12
61703,HL220-1500,1150,0.001,QFM+5,59.71,9.18,12.07,1.18,8.72,0,0,8.59
61704,HL220-2500,1150,0.001,QFM+5,59.78,9.1,11.99,1.12,8.81,0,0,8.59
61705,HL220-5000,1150,0.001,QFM+5,59.64,9.36,11.91,1.11,8.59,0,0,8.08
61706,HL220-15000,1150,0.001,QFM+5,58.37,8.77,11.45,1.13,8.75,0,0,8.3
61707,HL220-40000,1150,0.001,QFM+5,57.22,8.68,11.4,1.05,8.54,0,0,7.64
61708,HL220-60000,1150,0.001,QFM+5,55.51,7.3,10.13,1.03,9.38,0,0,7.11
61709,HL220-75000,1150,0.001,QFM+5,54.98,7.98,10.73,0.98,8.94,0,0,7.21
61710,HL240-100,1150,0.001,QFM+5,62.55,15.75,10.65,1.48,5.69,0,0,3.88
61711,HL240-250,1150,0.001,QFM+5,62.7,15.5,10.55,1.48,5.76,0,0,3.94
61712,HL240-500,1150,0.001,QFM+5,63.43,15.83,10.33,1.38,5.43,0,0,3.45
61713,HL240-2000,1150,0.001,QFM+5,63.21,15.71,10.38,1.38,5.49,0,0,3.55
61714,HL240-5000,1150,0.001,QFM+5,63.01,15.55,9.67,1.42,5.95,0,0,3.83
61715,HL240-20000,1150,0.001,QFM+5,61.57,14.71,10.75,1.42,6.38,0,0,3.96
61716,HL240-45000,1150,0.001,QFM+5,59.86,13.26,9.41,1.13,7.63,0,0,4.16
61726,HL22REE-200,1150,0.001,QFM+5,59.88,9.28,11.84,0,8.67,0,0,8.48
61727,HL22REE-2000,1150,0.001,QFM+5,58.66,8.87,11.74,0,8.63,0,0,8.14
61728,HL22REE-8000,1150,0.001,QFM+5,54.32,8.26,11.14,0,8.59,0,0,7.5
61729,SH2K,1150,0.001,QFM+5,58.95,7.05,0.59,14.42,9.93,0,0,6.6
61730,SH2Na,1150,0.001,QFM+5,61.26,7.59,11.11,0.49,10.39,0,0,7.38
61792,ASI200 ,1150,0.001,QFM+5,57.88,4.72,12.45,1.03,10.76,0,0,11.84
61793,ASI220 ,1150,0.001,QFM+5,59.87,9.36,11.94,1.16,8.49,0,0,8.2
61794,ASI240 ,1150,0.001,QFM+5,61.67,14.62,10.89,1.34,6.05,0,0,4.33
61795,ASI250 ,1150,0.001,QFM+5,61.99,17.18,9.92,1.38,5.07,0,0,2.97
61796,ASI260 ,1150,0.001,QFM+5,61.37,19.18,8.87,1.38,5.13,0,0,3.02
61797,ASI280 ,1150,0.001,QFM+5,57.51,20.52,5.93,1.22,8.6,0,0,4.27
61798,DAC ,1150,0.001,QFM+5,62.8,16.19,5.09,3.5,8.97,0,0,2
61799,RHY ,1150,0.001,QFM+5,67.22,13.81,5.58,4.57,5.6,0,0,2.1
64241,1044BA,1000,7.5,?,51.82,15.55,1.83,0.9,9.96,7.97,2.95,2.85
64242,1044A,1000,7.5,?,56.55,15.54,3.34,1.56,7.35,5.07,2.41,2.32
64243,1044T,1000,7.5,?,60.75,15.21,5.23,4.82,2.65,3.58,0.16,1.73
64244,1045BA,1000,16,?,51.33,15.86,1.88,0.93,9.4,8.01,2.55,2.7
64245,1045A,1000,16,?,57.55,16.15,3.38,1.58,6.66,4.81,1.95,1.9
64246,1045T,1000,16,?,60.79,15.32,5.28,4.87,2.64,3.37,0.18,1.61
64247,1046BA,950,7.5,?,53.14,17.18,1.82,0.9,8.79,7.94,2.09,1.68
64248,1046A,950,7.5,?,58.22,16.55,3.35,1.56,5.96,5.02,1.82,1.45
64249,1046T,950,7.5,?,61.13,15.52,5.17,4.78,2.26,3.81,0.17,1.31
64250,1056BA,1000,4,HM,54.42,15.57,1.91,0.95,10.58,5.63,2.98,2.74
64251,1056A,1000,4,HM,57.83,15.6,3.41,1.61,7.83,4.3,2.34,2.17
64252,1056T,1000,4,HM,61.66,15.54,5.16,4.79,2.83,3.15,0.16,1.81
